tconst,averageRating,runtimeMinutes,genres,directors,actor
tt0210945,7.8,113,"Biography,Drama,Sport",nm0945026,nm0000243
tt0211181,4.8,100,"Adventure,Comedy,Family",nm0510674,nm0000335
tt0211443,4.4,92,"Action,Horror,Sci-Fi",nm0410494,nm0387987
tt0211465,6.1,92,"Crime,Drama,Thriller","nm0002718,nm0505522",nm0062752
tt0211915,8.3,122,"Comedy,Romance",nm0000466,nm0851582
tt0211933,6.5,84,"Crime,Drama,Mystery",nm1703612,nm0159789
tt0212338,7.0,108,"Comedy,Romance",nm0005366,nm0001774
tt0212346,6.3,109,"Action,Comedy,Crime",nm0677953,nm0000113
tt0212712,7.4,129,"Drama,Romance,Sci-Fi",nm0939182,nm0504897
tt0212720,7.2,146,"Drama,Sci-Fi",nm0000229,nm0005286
tt0212985,6.8,131,"Crime,Drama,Thriller",nm0000631,nm0000164
tt0213149,6.2,183,"Action,Drama,History",nm0000881,nm0000255
tt0213847,7.4,108,"Drama,Romance,War",nm0868153,nm0000899
tt0213890,7.0,216,"Drama,Musical,Romance",nm0159147,nm0000821
tt0214388,5.8,94,"Comedy,Romance",nm0205157,nm0006958
tt0215129,6.5,93,Comedy,nm0680846,nm0005227
tt0215750,7.5,131,"Action,Drama,War",nm0000269,nm0000179
tt0216216,5.9,123,"Action,Mystery,Sci-Fi",nm0006854,nm0000216
tt0216651,7.6,103,"Action,Animation,Drama","nm0282027,nm0159109",nm0057314
tt0217505,7.5,167,"Crime,Drama",nm0000217,nm0000138
